Plug,BatteryStatus,Communication,Lon,AppVersion,time,Lat,BatteryLevel
0,3,1,2.54613116,1.1,2014-08-08 07:46:28 +0200,41.57601457,91
0,3,1,2.54877337,1.1,2014-08-08 07:46:58 +0200,41.57713649,91
0,3,1,2.54933638,1.1,2014-08-08 07:47:56 +0200,41.57739825,91
0,3,1,2.5522201,1.1,2014-08-08 07:49:23 +0200,41.578855,91
0,3,1,2.56634695,1.1,2014-08-08 07:49:53 +0200,41.58173425,91
0,3,1,2.57376828,1.1,2014-08-08 07:50:23 +0200,41.58440729,91
0,3,1,2.57931835,1.1,2014-08-08 07:50:53 +0200,41.58590244,91
0,3,1,2.58040189,1.1,2014-08-08 07:51:23 +0200,41.58623423,91
0,3,1,2.58040057,1.1,2014-08-08 07:51:53 +0200,41.58623505,91
0,3,1,2.58149571,1.1,2014-08-08 07:52:23 +0200,41.58661003,91
0,3,1,2.59691012,1.1,2014-08-08 07:53:31 +0200,41.59173701,90
0,3,1,2.60574045,1.1,2014-08-08 07:54:04 +0200,41.5946891,90
0,3,1,2.6116631,1.1,2014-08-08 07:54:34 +0200,41.59665958,90
0,3,1,2.62174016,1.1,2014-08-08 07:55:48 +0200,41.60018382,90
0,3,1,2.62383068,1.1,2014-08-08 07:57:05 +0200,41.60137972,90
0,3,1,2.62382789,1.1,2014-08-08 07:58:47 +0200,41.60138051,90
0,3,1,2.62382029,1.1,2014-08-08 08:00:36 +0200,41.6013362,89
0,3,1,2.62507585,1.1,2014-08-08 08:01:06 +0200,41.60178005,89
0,3,1,2.6246792,1.1,2014-08-08 08:01:36 +0200,41.6017297,89
0,3,1,2.62996834,1.1,2014-08-08 08:02:06 +0200,41.60361068,89
0,3,1,2.63262447,1.1,2014-08-08 08:02:36 +0200,41.60429197,89
0,3,1,2.6331378,1.1,2014-08-08 08:03:06 +0200,41.6042662,89
0,3,0,2.6331378,1.1,2014-08-08 08:03:36 +0200,41.6042662,89
0,3,1,2.64999057,1.1,2014-08-08 08:04:06 +0200,41.61002003,88
0,3,1,2.65643093,1.1,2014-08-08 08:04:38 +0200,41.61166814,88
0,3,1,2.66088676,1.1,2014-08-08 08:05:08 +0200,41.61291674,88
0,3,1,2.66366353,1.1,2014-08-08 08:05:38 +0200,41.61388228,88
0,3,1,2.66612284,1.1,2014-08-08 08:06:08 +0200,41.61463776,88
