Mag3,Mag2,Mag1,time,Acc1,Acc3,Acc2
-24.9664306640625,27.29339599609375,-44.7052001953125,2014-08-08 06:48:44 +0200,0.4790496826171875,9.542633056640625,0.4987335205078125
-28.1219482421875,17.4041748046875,-34.07440185546875,2014-08-08 06:48:45 +0200,0.563079833984375,9.781082153320312,0.3521270751953125
-28.1219482421875,17.4041748046875,-34.07440185546875,2014-08-08 06:48:47 +0200,0.563079833984375,9.781082153320312,0.3521270751953125
-28.1219482421875,17.4041748046875,-34.07440185546875,2014-08-08 06:48:50 +0200,0.563079833984375,9.781082153320312,0.3521270751953125
-28.1219482421875,17.4041748046875,-34.07440185546875,2014-08-08 06:48:52 +0200,0.563079833984375,9.781082153320312,0.3521270751953125
-28.1219482421875,17.4041748046875,-34.07440185546875,2014-08-08 06:48:55 +0200,0.563079833984375,9.781082153320312,0.3521270751953125
-28.1219482421875,17.4041748046875,-34.07440185546875,2014-08-08 06:48:57 +0200,0.563079833984375,9.781082153320312,0.3521270751953125
-28.1219482421875,17.4041748046875,-34.07440185546875,2014-08-08 06:49:00 +0200,0.563079833984375,9.781082153320312,0.3521270751953125
-28.1219482421875,17.4041748046875,-34.07440185546875,2014-08-08 06:49:02 +0200,0.563079833984375,9.781082153320312,0.3521270751953125
-33.3099365234375,39.94598388671875,-67.8955078125,2014-08-08 06:49:03 +0200,0.0444183349609375,9.573760986328125,0.372650146484375
-32.9742431640625,27.24151611328125,-57.2509765625,2014-08-08 06:49:04 +0200,-0.013702392578125,9.538055419921875,0.4527587890625
-26.8768310546875,32.281494140625,-58.172607421875,2014-08-08 06:49:05 +0200,0.188873291015625,9.613540649414062,0.324951171875
-27.42462158203125,29.13055419921875,-57.7667236328125,2014-08-08 06:49:06 +0200,0.1854095458984375,9.675979614257812,0.3642120361328125
-27.92816162109375,31.01806640625,-53.131103515625,2014-08-08 06:49:07 +0200,0.2284698486328125,9.638381958007812,0.398468017578125
-30.48095703125,30.87615966796875,-50.62103271484375,2014-08-08 06:49:10 +0200,0.1250762939453125,9.59588623046875,0.3913726806640625
-30.48095703125,30.87615966796875,-50.62103271484375,2014-08-08 06:49:12 +0200,0.1250762939453125,9.59588623046875,0.3913726806640625
-30.48095703125,30.87615966796875,-50.62103271484375,2014-08-08 06:49:15 +0200,0.1250762939453125,9.59588623046875,0.3913726806640625
-30.48095703125,30.87615966796875,-50.62103271484375,2014-08-08 06:49:17 +0200,0.1250762939453125,9.59588623046875,0.3913726806640625
-30.48095703125,30.87615966796875,-50.62103271484375,2014-08-08 06:49:20 +0200,0.1250762939453125,9.59588623046875,0.3913726806640625
-30.48095703125,30.87615966796875,-50.62103271484375,2014-08-08 06:49:22 +0200,0.1250762939453125,9.59588623046875,0.3913726806640625
-30.48095703125,30.87615966796875,-50.62103271484375,2014-08-08 06:49:25 +0200,0.1250762939453125,9.59588623046875,0.3913726806640625
-30.48095703125,30.87615966796875,-50.62103271484375,2014-08-08 06:49:27 +0200,0.1250762939453125,9.59588623046875,0.3913726806640625
-13.03558349609375,-0.62408447265625,7.09686279296875,2014-08-08 06:49:28 +0200,0.14404296875,9.653045654296875,0.5151519775390625
-12.579345703125,5.1422119140625,-2.09503173828125,2014-08-08 06:49:29 +0200,0.003814697265625,9.576553344726562,0.5695953369140625
-11.49749755859375,7.1136474609375,-0.16326904296875,2014-08-08 06:49:30 +0200,0.2210235595703125,9.791900634765625,0.4627227783203125
-13.74969482421875,5.92193603515625,-1.9805908203125,2014-08-08 06:49:31 +0200,-0.0904541015625,9.691375732421875,0.5778656005859375
-17.596435546875,13.653564453125,-14.32647705078125,2014-08-08 06:49:32 +0200,0.1024322509765625,9.654830932617188,0.4935302734375
-17.596435546875,13.653564453125,-14.32647705078125,2014-08-08 06:49:34 +0200,0.1024322509765625,9.654830932617188,0.4935302734375
