Plug,BatteryStatus,Communication,Lon,AppVersion,time,Lat,BatteryLevel
0,3,1,2.28660968,1.1,2014-08-08 09:04:47 +0200,41.46872742,78
0,3,0,2.28572786,1.1,2014-08-08 09:05:22 +0200,41.46831435,78
0,3,1,2.28490718,1.1,2014-08-08 09:05:52 +0200,41.46802107,78
0,3,1,2.28005989,1.1,2014-08-08 09:06:22 +0200,41.46633057,78
0,3,1,2.27402329,1.1,2014-08-08 09:06:52 +0200,41.46388316,78
0,3,1,2.27105358,1.1,2014-08-08 09:07:22 +0200,41.46238958,77
0,3,1,2.26842378,1.1,2014-08-08 09:08:18 +0200,41.46082345,77
0,3,1,2.25386677,1.1,2014-08-08 09:09:31 +0200,41.45026442,77
0,3,1,2.24797827,1.1,2014-08-08 09:10:52 +0200,41.44496093,77
0,3,1,2.2403026,1.1,2014-08-08 09:12:14 +0200,41.43605133,77
0,3,1,2.22963293,1.1,2014-08-08 09:14:08 +0200,41.42361098,77
0,3,1,2.22961112,1.1,2014-08-08 09:14:38 +0200,41.42356397,77
0,3,1,2.2222736,1.1,2014-08-08 09:15:11 +0200,41.4221768,77
0,3,1,2.21922334,1.1,2014-08-08 09:17:14 +0200,41.42210674,77
0,3,1,2.21117547,1.1,2014-08-08 09:18:00 +0200,41.42594791,76
0,3,1,2.20556907,1.1,2014-08-08 09:18:30 +0200,41.42861014,76
0,3,1,2.19996282,1.1,2014-08-08 09:19:00 +0200,41.43040994,76
0,3,1,2.19635875,1.1,2014-08-08 09:19:30 +0200,41.42753355,76
0,3,1,2.19418163,1.1,2014-08-08 09:20:00 +0200,41.42343141,76
0,3,1,2.1928759,1.1,2014-08-08 09:20:30 +0200,41.41856348,76
0,3,1,2.1921896,1.1,2014-08-08 09:21:23 +0200,41.4206284,76
0,3,1,2.1921896,1.1,2014-08-08 09:22:18 +0200,41.4206284,76
0,3,1,2.1921896,1.1,2014-08-08 09:22:48 +0200,41.4206284,75
0,3,1,2.1921896,1.1,2014-08-08 09:23:18 +0200,41.4206284,75
0,3,1,2.2097591,1.1,2014-08-08 09:23:48 +0200,41.4242772,75
