Mag3,Mag2,Mag1,time,Acc1,Acc3,Acc2
-30.23223876953125,-16.9403076171875,12.59918212890625,2014-08-08 08:17:33 +0200,-0.4247894287109375,8.810653686523438,2.9054412841796875
-31.67266845703125,-16.9647216796875,13.84429931640625,2014-08-08 08:17:34 +0200,-0.1143646240234375,9.028671264648438,2.9113922119140625
-30.75103759765625,-18.14117431640625,10.52398681640625,2014-08-08 08:17:35 +0200,0.4499359130859375,8.931182861328125,3.10687255859375
-29.6112060546875,-16.36505126953125,11.07635498046875,2014-08-08 08:17:36 +0200,-0.2693634033203125,9.017852783203125,2.935943603515625
-30.29632568359375,-18.1121826171875,10.1348876953125,2014-08-08 08:17:37 +0200,-0.2325286865234375,9.283050537109375,2.8438568115234375
-28.99017333984375,-14.3341064453125,12.60986328125,2014-08-08 08:17:38 +0200,-0.3897857666015625,9.218292236328125,2.4597930908203125
-29.17022705078125,-16.41845703125,11.41815185546875,2014-08-08 08:17:39 +0200,-0.174713134765625,9.242111206054688,2.546051025390625
-29.8797607421875,-15.67840576171875,11.48834228515625,2014-08-08 08:17:40 +0200,-0.13427734375,9.249755859375,2.55328369140625
-29.96826171875,-16.2322998046875,11.6302490234375,2014-08-08 08:17:41 +0200,-0.125518798828125,9.25067138671875,2.532501220703125
-30.47637939453125,-16.80450439453125,12.5213623046875,2014-08-08 08:17:42 +0200,-0.110595703125,9.229019165039062,2.5228118896484375
-29.779052734375,-17.22259521484375,10.5621337890625,2014-08-08 08:17:43 +0200,-0.1756591796875,9.22442626953125,2.485321044921875
-29.27398681640625,-13.9617919921875,10.04638671875,2014-08-08 08:17:44 +0200,-0.1292724609375,9.249908447265625,2.580657958984375
-30.61981201171875,-17.73834228515625,10.38970947265625,2014-08-08 08:17:45 +0200,-0.1112518310546875,9.230850219726562,2.5752105712890625
-30.53436279296875,-16.7938232421875,9.9609375,2014-08-08 08:17:46 +0200,-0.1155242919921875,9.2113037109375,2.583831787109375
-30.13916015625,-15.826416015625,10.19287109375,2014-08-08 08:17:47 +0200,-0.1904296875,9.19415283203125,2.5554351806640625
-30.352783203125,-16.9769287109375,10.7086181640625,2014-08-08 08:17:48 +0200,-0.1097564697265625,9.206924438476562,2.607177734375
-30.70068359375,-15.98052978515625,11.016845703125,2014-08-08 08:17:49 +0200,-0.6031341552734375,9.919387817382812,2.87890625
-36.4959716796875,-28.49273681640625,-1.39312744140625,2014-08-08 08:17:50 +0200,-0.0123291015625,8.510116577148438,4.984405517578125
-35.64605712890625,-25.909423828125,2.43988037109375,2014-08-08 08:17:51 +0200,-0.150634765625,8.533157348632812,4.434600830078125
-32.9742431640625,-23.91815185546875,3.179931640625,2014-08-08 08:17:52 +0200,-0.75714111328125,8.52392578125,4.089630126953125
-33.3099365234375,-23.23150634765625,5.2398681640625,2014-08-08 08:17:53 +0200,-0.162841796875,8.268722534179688,4.091644287109375
-34.991455078125,-22.54486083984375,3.52325439453125,2014-08-08 08:17:54 +0200,0.019989013671875,8.625411987304688,4.0610504150390625
-34.31854248046875,-23.91815185546875,3.8665771484375,2014-08-08 08:17:55 +0200,0.2635345458984375,8.630020141601562,4.24078369140625
-33.64715576171875,-24.261474609375,4.20989990234375,2014-08-08 08:17:56 +0200,0.01263427734375,8.568008422851562,4.1604156494140625
-33.14208984375,-23.4039306640625,4.72564697265625,2014-08-08 08:17:57 +0200,0.0306549072265625,8.627349853515625,4.1294708251953125
-34.99298095703125,-22.53875732421875,3.8848876953125,2014-08-08 08:17:58 +0200,0.1234588623046875,8.575180053710938,4.13330078125
-34.51690673828125,-22.9705810546875,5.26123046875,2014-08-08 08:17:59 +0200,0.06781005859375,8.5828857421875,4.130096435546875
-33.14208984375,-22.03521728515625,4.61273193359375,2014-08-08 08:18:00 +0200,0.131988525390625,8.56610107421875,4.147857666015625
-34.16595458984375,-22.8607177734375,5.42755126953125,2014-08-08 08:18:01 +0200,0.088470458984375,8.592086791992188,4.136260986328125
-34.832763671875,-23.9593505859375,5.98602294921875,2014-08-08 08:18:02 +0200,0.0711822509765625,8.623764038085938,4.12945556640625
-34.65576171875,-22.81341552734375,6.33544921875,2014-08-08 08:18:03 +0200,0.0357666015625,8.6151123046875,4.1466827392578125
-35.15167236328125,-22.0550537109375,7.4737548828125,2014-08-08 08:18:04 +0200,0.04241943359375,8.582412719726562,4.11407470703125
-34.2376708984375,-23.41156005859375,7.781982421875,2014-08-08 08:18:05 +0200,0.1846923828125,8.581924438476562,4.143585205078125
-34.2315673828125,-25.02899169921875,7.7301025390625,2014-08-08 08:18:06 +0200,0.0718841552734375,8.586563110351562,4.1630401611328125
-34.31854248046875,-22.81951904296875,7.78045654296875,2014-08-08 08:18:07 +0200,0.04229736328125,8.601699829101562,4.1235809326171875
-34.4879150390625,-23.60076904296875,7.12890625,2014-08-08 08:18:08 +0200,0.04913330078125,8.561843872070312,4.1471710205078125
-34.4879150390625,-23.45733642578125,8.50982666015625,2014-08-08 08:18:09 +0200,0.0864105224609375,8.589630126953125,4.1516571044921875
-34.62066650390625,-23.529052734375,6.5521240234375,2014-08-08 08:18:10 +0200,0.0506591796875,8.542205810546875,4.1624755859375
-33.98284912109375,-21.85821533203125,9.3597412109375,2014-08-08 08:18:11 +0200,0.0462188720703125,8.6226806640625,4.1472015380859375
-34.4879150390625,-23.74725341796875,5.755615234375,2014-08-08 08:18:12 +0200,0.04351806640625,8.589340209960938,4.1561431884765625
-34.15069580078125,-22.71728515625,7.12890625,2014-08-08 08:18:13 +0200,0.05242919921875,8.591323852539062,4.132720947265625
-32.9742431640625,-23.5748291015625,9.3597412109375,2014-08-08 08:18:14 +0200,0.0306549072265625,8.610519409179688,4.1495361328125
-33.98284912109375,-23.23150634765625,10.38970947265625,2014-08-08 08:18:15 +0200,0.060943603515625,8.63812255859375,4.14990234375
-34.31854248046875,-23.5748291015625,9.3597412109375,2014-08-08 08:18:16 +0200,0.022125244140625,8.610794067382812,4.13446044921875
-33.81500244140625,-23.4039306640625,8.84552001953125,2014-08-08 08:18:17 +0200,0.021484375,8.567276000976562,4.1563873291015625
-34.97772216796875,-23.24066162109375,10.3973388671875,2014-08-08 08:18:18 +0200,0.0832977294921875,8.589157104492188,4.155670166015625
-34.564208984375,-22.8729248046875,9.96246337890625,2014-08-08 08:18:19 +0200,-0.0097198486328125,8.535568237304688,4.13958740234375
